date, total_amount
2023-11-01, 27221000
2023-11-02, 24030000
2023-11-03, 23825000
2023-11-04, 25523000
2023-11-05, 26819000
2023-11-06, 25624000
2023-11-07, 20432000
2023-11-08, 25922000
2023-11-09, 26323000
2023-11-10, 24028000
2023-11-11, 28320000
2023-11-12, 26319000
2023-11-13, 26129000
2023-11-14, 23626000
2023-11-15, 25226000
2023-11-16, 27323000
2023-11-17, 24322000
2023-11-18, 24224000
2023-11-19, 26322000
2023-11-20, 26527000
2023-11-21, 24226000
2023-11-22, 22731000
2023-11-23, 28422000
2023-11-24, 22032000
2023-11-25, 23625000
2023-11-26, 22729000
2023-11-27, 22830000
2023-11-28, 23828000
2023-11-29, 26519000
2023-11-30, 26523000
