date, total_amount
2023-02-01, 27518000
2023-02-02, 26421000
2023-02-03, 23528000
2023-02-04, 22727000
2023-02-05, 25523000
2023-02-06, 26320000
2023-02-07, 26323000
2023-02-08, 22532000
2023-02-09, 25521000
2023-02-10, 22731000
2023-02-11, 23731000
2023-02-12, 26422000
2023-02-13, 23825000
2023-02-14, 26420000
2023-02-15, 23229000
2023-02-16, 25025000
2023-02-17, 21027000
2023-02-18, 22128000
2023-02-19, 24230000
2023-02-20, 24828000
2023-02-21, 22036000
2023-02-22, 23227000
2023-02-23, 23831000
2023-02-24, 23129000
2023-02-25, 25721000
2023-02-26, 27618000
2023-02-27, 27018000
2023-02-28, 23331000
