date, total_amount
2023-06-01, 25323000
2023-06-02, 26918000
2023-06-03, 24128000
2023-06-04, 27521000
2023-06-05, 29919000
2023-06-06, 26820000
2023-06-07, 26623000
2023-06-08, 23928000
2023-06-09, 25128000
2023-06-10, 24624000
2023-06-11, 23925000
2023-06-12, 25324000
2023-06-13, 23427000
2023-06-14, 24925000
2023-06-15, 27721000
2023-06-16, 25522000
2023-06-17, 25722000
2023-06-18, 26921000
2023-06-19, 25022000
2023-06-20, 26422000
2023-06-21, 23229000
2023-06-22, 24724000
2023-06-23, 25425000
2023-06-24, 25024000
2023-06-25, 25425000
2023-06-26, 26821000
2023-06-27, 25023000
2023-06-28, 25823000
2023-06-29, 22626000
2023-06-30, 24727000
