date, total_amount
2023-05-01, 24425000
2023-05-02, 23428000
2023-05-03, 27016000
2023-05-04, 27720000
2023-05-05, 24726000
2023-05-06, 26023000
2023-05-07, 23628000
2023-05-08, 26323000
2023-05-09, 23228000
2023-05-10, 26721000
2023-05-11, 25726000
2023-05-12, 26625000
2023-05-13, 23429000
2023-05-14, 24428000
2023-05-15, 26324000
2023-05-16, 24723000
2023-05-17, 28315000
2023-05-18, 24828000
2023-05-19, 27123000
2023-05-20, 25822000
2023-05-21, 24227000
2023-05-22, 25423000
2023-05-23, 21434000
2023-05-24, 24327000
2023-05-25, 24626000
2023-05-26, 23123000
2023-05-27, 23727000
2023-05-28, 24926000
2023-05-29, 26623000
2023-05-30, 26922000
2023-05-31, 22726000
