date, total_amount
2023-07-01, 25921000
2023-07-02, 26718000
2023-07-03, 26218000
2023-07-04, 25822000
2023-07-05, 23729000
2023-07-06, 26721000
2023-07-07, 26124000
2023-07-08, 29117000
2023-07-09, 26722000
2023-07-10, 27323000
2023-07-11, 25621000
2023-07-12, 23823000
2023-07-13, 24325000
2023-07-14, 27022000
2023-07-15, 25625000
2023-07-16, 25923000
2023-07-17, 24124000
2023-07-18, 25520000
2023-07-19, 25527000
2023-07-20, 24725000
2023-07-21, 21934000
2023-07-22, 26222000
2023-07-23, 21736000
2023-07-24, 22231000
2023-07-25, 27120000
2023-07-26, 22231000
2023-07-27, 27122000
2023-07-28, 26120000
2023-07-29, 24924000
2023-07-30, 25025000
2023-07-31, 26224000
