date, total_amount
2023-12-01, 26217000
2023-12-02, 25126000
2023-12-03, 25224000
2023-12-04, 18543000
2023-12-05, 26424000
2023-12-06, 24926000
2023-12-07, 25622000
2023-12-08, 23728000
2023-12-09, 24328000
2023-12-10, 23725000
2023-12-11, 23229000
2023-12-12, 24430000
2023-12-13, 23424000
2023-12-14, 25724000
2023-12-15, 24225000
2023-12-16, 25726000
2023-12-17, 24028000
2023-12-18, 24527000
2023-12-19, 24527000
2023-12-20, 25326000
2023-12-21, 25630000
2023-12-22, 22434000
2023-12-23, 26525000
2023-12-24, 30016000
2023-12-25, 22929000
2023-12-26, 26323000
2023-12-27, 24926000
2023-12-28, 26722000
2023-12-29, 27521000
2023-12-30, 23031000
2023-12-31, 23032000
