date, total_amount
2023-09-01, 24827000
2023-09-02, 25625000
2023-09-03, 23730000
2023-09-04, 24723000
2023-09-05, 25626000
2023-09-06, 26719000
2023-09-07, 25622000
2023-09-08, 26019000
2023-09-09, 25420000
2023-09-10, 26520000
2023-09-11, 25328000
2023-09-12, 26222000
2023-09-13, 25823000
2023-09-14, 23827000
2023-09-15, 26221000
2023-09-16, 26022000
2023-09-17, 24829000
2023-09-18, 21430000
2023-09-19, 24027000
2023-09-20, 25424000
2023-09-21, 26720000
2023-09-22, 24031000
2023-09-23, 25921000
2023-09-24, 24324000
2023-09-25, 23133000
2023-09-26, 23830000
2023-09-27, 24027000
2023-09-28, 25021000
2023-09-29, 22925000
2023-09-30, 26024000
