date, total_amount
2023-08-01, 22232000
2023-08-02, 27020000
2023-08-03, 23127000
2023-08-04, 24230000
2023-08-05, 28114000
2023-08-06, 24130000
2023-08-07, 21733000
2023-08-08, 26720000
2023-08-09, 25825000
2023-08-10, 22829000
2023-08-11, 23332000
2023-08-12, 27822000
2023-08-13, 25226000
2023-08-14, 24322000
2023-08-15, 25820000
2023-08-16, 25628000
2023-08-17, 28216000
2023-08-18, 26523000
2023-08-19, 23531000
2023-08-20, 21525000
2023-08-21, 24927000
2023-08-22, 27222000
2023-08-23, 26221000
2023-08-24, 26621000
2023-08-25, 26520000
2023-08-26, 25320000
2023-08-27, 21734000
2023-08-28, 24925000
2023-08-29, 25423000
2023-08-30, 24925000
2023-08-31, 22829000
