date, total_amount
2023-04-01, 25624000
2023-04-02, 21730000
2023-04-03, 24124000
2023-04-04, 26123000
2023-04-05, 25025000
2023-04-06, 24427000
2023-04-07, 20538000
2023-04-08, 23829000
2023-04-09, 24922000
2023-04-10, 22331000
2023-04-11, 25025000
2023-04-12, 27022000
2023-04-13, 26221000
2023-04-14, 26323000
2023-04-15, 27221000
2023-04-16, 27023000
2023-04-17, 28223000
2023-04-18, 21829000
2023-04-19, 25333000
2023-04-20, 24827000
2023-04-21, 27221000
2023-04-22, 26323000
2023-04-23, 22831000
2023-04-24, 25426000
2023-04-25, 24429000
2023-04-26, 24725000
2023-04-27, 24526000
2023-04-28, 21429000
2023-04-29, 24522000
2023-04-30, 24127000
